Id,PostTypeId,CreationDate,Score,ViewCount,Tags,AnswerCount,FavoriteCount
"305554","1","2016-02-10 15:23:51","29","39017","<single-word-requests><nouns>","10","2"
"305556","1","2016-02-10 15:26:49","-1","383","<that>","1",""
"305564","1","2016-02-10 15:57:06","2","4238","<meaning>","1",""
"305576","1","2016-02-10 16:50:40","1","8537","<grammar><prepositions><conjunctions>","3",""
"305579","1","2016-02-10 17:06:40","1","130","<meaning><meaning-in-context><sentence>","2",""
"305924","1","2016-02-10 17:50:20","2","322","<punctuation><grammar>","2",""
"305592","1","2016-02-10 18:04:33","1","1098","<differences><modal-verbs><auxiliary-verbs>","1",""
"305596","1","2016-02-10 18:31:28","0","293","<word-choice><possessive-pronouns>","1",""
"305599","1","2016-02-10 19:13:27","0","11030","<colloquialisms><conversation><greetings>","1",""
"305612","1","2016-02-10 20:04:51","0","2714","<question-mark>","1",""
"305613","1","2016-02-10 20:07:17","73","16901","<idiom-requests><proverb-requests><expression-requests>","21","15"
"305619","1","2016-02-10 20:40:26","2","214","<grammar>","2",""
"305620","1","2016-02-10 20:45:29","2","143","<logic>","5",""
"305621","1","2016-02-10 20:50:38","0","3280","<prepositions><prepositional-phrases><prepositional-objects>","4",""
"305627","1","2016-02-10 21:23:14","2","85","<dictionaries>","1",""
"305629","1","2016-02-10 21:26:58","0","104","<usage>","1",""
"305642","1","2016-02-10 23:10:25","0","568","<meaning>","1",""
"305643","1","2016-02-10 23:13:16","3","1335","<meaning><phrase-meaning><quotes>","1",""
"305663","1","2016-02-11 00:30:06","1","205","<phrase-meaning>","2",""
"305670","1","2016-02-11 01:25:35","0","496","<verbs>","3",""
"305671","1","2016-02-11 01:43:01","2","962","<phrase-requests><idiom-requests>","4","1"
"305673","1","2016-02-11 02:26:19","1","15032","<word-choice><differences>","2",""
"305675","1","2016-02-11 02:48:14","1","55","<titles><to-into>","1",""
"305686","1","2016-02-11 03:20:17","0","1035","<grammar>","1",""
"305699","1","2016-02-11 04:55:58","2","1970","<grammar><verbs><tenses>","1",""
"305708","1","2016-02-11 06:20:13","2","3345","<phrase-requests><idiom-requests>","9","1"
"305713","1","2016-02-11 06:48:23","0","149","<meaning>","1","1"
"305726","1","2016-02-11 08:11:59","1","116","<grammar>","5",""
"305729","1","2016-02-11 08:31:14","3","1024","<single-word-requests><phrase-requests><terminology>","2",""
"305730","1","2016-02-11 08:41:31","0","456","<grammar>","2",""
"305750","1","2016-02-11 10:24:24","0","67","<meaning><meaning-in-context><ambiguity>","1",""
"305752","1","2016-02-11 10:55:31","3","306","<single-word-requests>","2","1"
"305757","1","2016-02-11 11:35:01","18","26242","<idiom-requests>","12","2"
"305767","1","2016-02-11 12:09:51","0","94","<usage><writing-style>","2",""
"305769","1","2016-02-11 12:18:09","1","360","<british-english><political-correctness><politics>","1",""
"305772","1","2016-02-11 12:22:38","0","647","<single-word-requests>","1",""
"305774","1","2016-02-11 12:36:04","0","330","<word-order>","2",""
"305779","1","2016-02-11 13:05:13","1","449","<american-english><pronunciation>","1",""
"305782","1","2016-02-11 13:29:22","54","9425","<single-word-requests><verbs><nouns><phrase-requests><usage>","8","16"
"305785","1","2016-02-11 13:53:45","0","205","<british-english><tenses><syntactic-analysis><verb-agreement><sentence-patterns>","1",""
"305791","1","2016-02-11 14:14:08","0","1374","<gerunds><participles>","1",""
"305792","1","2016-02-11 14:29:43","1","269","<clauses><auxiliary-verbs><be>","1",""
"305794","1","2016-02-11 14:47:40","3","1197","<single-word-requests>","6","1"
"305795","1","2016-02-11 14:47:55","-1","418","<errors><syntactic-analysis>","2",""
"305796","1","2016-02-11 14:48:45","1","101","<meaning><american-english><british-english><translation><computing>","3",""
"305803","1","2016-02-11 15:27:43","1","10780","<meaning><differences>","1",""
"305807","1","2016-02-11 15:38:06","1","168","<verb-agreement>","2",""
"305814","1","2016-02-11 16:13:41","1","1358","<differences><past-tense><present-perfect>","3",""
"305821","1","2016-02-11 16:54:28","1","2570","<pronunciation>","1",""
"305824","1","2016-02-11 17:06:17","3","1084","<verbs>","2",""
"305833","1","2016-02-11 18:10:51","0","344","<grammar><descriptive-grammar>","1",""
"305834","1","2016-02-11 18:20:01","3","1411","<vocabulary>","2",""
"305837","1","2016-02-11 18:43:57","2","1594","<meaning>","1",""
"305838","1","2016-02-11 18:45:07","1","88","<expressions>","1",""
"305839","1","2016-02-11 18:45:27","0","768","<expressions>","1",""
"305840","1","2016-02-11 18:54:09","1","435","<synonyms>","1",""
"305841","1","2016-02-11 18:56:40","0","3146","<punctuation>","1",""
"305845","1","2016-02-11 19:19:34","1","21517","<sentence>","3","2"
"305846","1","2016-02-11 19:25:59","6","10114","<single-word-requests>","11",""
"305855","1","2016-02-11 19:51:57","6","2264","<meaning><single-word-requests>","2","1"
"305858","1","2016-02-11 20:03:11","-1","174","<apostrophe><numbers><money>","1",""
"305863","1","2016-02-11 20:33:15","0","356","<verbs><adverbs><word-order><split>","1",""
"305865","1","2016-02-11 20:47:13","1","1107","<punctuation>","2",""
"305874","1","2016-02-11 21:35:44","1","169","<word-choice><synonyms>","3",""
"305878","1","2016-02-11 22:15:59","12","1031","<terminology><history><old-english><middle-english>","2","3"
"305880","1","2016-02-11 22:22:02","0","77","<phrase-meaning>","3",""
"305881","1","2016-02-11 22:26:49","0","106","<single-word-requests>","1",""
"305885","1","2016-02-11 22:36:06","2","8897","<single-word-requests><nouns><phrase-requests><idiom-requests>","7","1"
"305899","1","2016-02-11 23:29:27","2","569","<single-word-requests>","1",""
"305905","1","2016-02-12 00:01:47","2","100","<word-usage><meaning-in-context>","1",""
"305909","1","2016-02-12 00:37:58","0","802","<etymology>","2","1"
"305930","1","2016-02-12 02:41:22","1","511","<single-word-requests><expressions><colloquialisms>","6",""
"305933","1","2016-02-12 04:13:30","0","112","<grammar>","1",""
"305935","1","2016-02-12 04:21:57","0","916","<meaning>","1",""
"305941","1","2016-02-12 05:06:25","0","1992","<grammaticality><expressions><american-english>","2",""
"305943","1","2016-02-12 05:15:32","1","713","<american-english><antonyms>","1",""
"305950","1","2016-02-12 06:01:27","1","3853","<single-word-requests>","5",""
"305951","1","2016-02-12 06:13:46","2","161","<single-word-requests><phrase-requests>","2",""
"305952","1","2016-02-12 06:19:49","4","2164","<phrase-requests><idiom-requests><expression-requests>","4",""
"305953","1","2016-02-12 06:32:01","2","3300","<meaning>","1",""
"305954","1","2016-02-12 06:39:01","6","114720","<word-usage><adjectives>","3","3"
"305959","1","2016-02-12 07:17:28","0","1589","<quotes><quotations><academia>","2",""
"305966","1","2016-02-12 08:17:04","-1","216","<grammar>","1","1"
"305969","1","2016-02-12 08:44:47","0","210","<differences><prepositions>","3",""
"305984","1","2016-02-12 10:35:09","1","535","<capitalization><acronyms>","2",""
"305993","1","2016-02-12 11:15:27","1","2400","<meaning>","1","2"
"305996","1","2016-02-12 11:48:51","1","146","<terminology><antonyms>","2",""
"306007","1","2016-02-12 13:59:00","1","490","<grammar><gerunds><participial>","2",""
"306009","1","2016-02-12 14:29:44","-1","215","<synonyms>","2",""
"306013","1","2016-02-12 14:44:55","2","689","<grammar><conditionals>","2","2"
"306016","1","2016-02-12 15:12:01","6","9490","<definite-articles><zero-article>","2",""
"306023","1","2016-02-12 15:47:04","0","3269","<grammar>","1","1"
"306028","1","2016-02-12 16:29:36","0","1714","<adverbs><commas><conjunctions>","2",""
"306036","1","2016-02-12 17:35:02","1","93","<dangling-participles>","1",""
"306039","1","2016-02-12 17:53:21","6","5115","<single-word-requests><word-choice>","4",""
"306052","1","2016-02-12 19:56:33","0","10054","<grammar>","1",""
"306056","1","2016-02-12 20:08:57","5","25398","<meaning>","2","2"
"306057","1","2016-02-12 20:12:09","0","671","<single-word-requests>","3",""
"306060","1","2016-02-12 20:14:13","2","13527","<vocabulary><parts-of-speech>","7",""
"306084","1","2016-02-12 23:39:38","7","12201","<single-word-requests>","3","1"
"306085","1","2016-02-12 23:50:28","1","73","<verb-agreement><be><demonstratives>","2","1"
"306092","1","2016-02-13 00:40:34","5","8142","<single-word-requests><slang><pejorative-language><epithet-requests>","5",""
"306094","1","2016-02-13 00:44:09","0","88","<single-word-requests><phrase-requests>","2",""
"306105","1","2016-02-13 03:19:12","1","1976","<meaning><word-choice><verbs><differences>","2","0"
"306110","1","2016-02-13 04:49:03","0","35","<nouns>","0",""
"306114","1","2016-02-13 04:59:43","2","910","<grammar><grammaticality>","0",""
"306116","1","2016-02-13 05:53:35","2","2180","<single-word-requests><american-english>","2",""
"306121","1","2016-02-13 07:16:52","4","34377","<single-word-requests><word-choice><expressions><phrase-requests><slang>","5","2"
"306133","1","2016-02-13 08:30:05","0","315","<grammar><pronouns>","2","1"
"306137","1","2016-02-13 09:56:21","5","2419","<single-word-requests>","2","1"
"306146","1","2016-02-13 10:58:41","4","21524","<single-word-requests><phrase-requests>","4",""
"306147","1","2016-02-13 11:12:08","4","2891","<single-word-requests><idiom-requests>","3",""
"306152","1","2016-02-13 12:17:10","1","58","<single-word-requests><expressions>","2",""
"306153","1","2016-02-13 12:22:17","0","191","<single-word-requests>","2",""
"306157","1","2016-02-13 12:47:30","7","1240","<etymology><prepositions>","4","1"
"306158","1","2016-02-13 13:02:57","1","659","<meaning><meaning-in-context>","1",""
"306161","1","2016-02-13 13:35:51","1","282","<meaning>","1",""
"306162","1","2016-02-13 14:00:49","-1","148","<neologisms>","1",""
"306165","1","2016-02-13 14:21:53","1","3580","<adjectives><uncountable-nouns><countable-nouns>","1",""
"306177","1","2016-02-13 16:06:47","0","454","<grammar>","1",""
"306186","1","2016-02-13 16:47:57","2","124","<pronunciation>","0",""
"306187","1","2016-02-13 16:52:51","1","338","<capitalization>","1",""
"306188","1","2016-02-13 16:56:40","2","5137","<etymology><idiom-meaning>","4",""
"306200","1","2016-02-13 18:10:03","1","94","<punctuation><usage>","2",""
"306201","1","2016-02-13 18:33:27","0","6664","<meaning><antonyms>","1",""
"306203","1","2016-02-13 18:45:51","0","328","<single-word-requests>","4","1"
"306206","1","2016-02-13 19:04:14","1","3084","<adverbs>","1",""
"306207","1","2016-02-13 19:25:41","-1","244","<passive-voice><intransitive>","2",""
"306209","1","2016-02-13 19:49:25","2","1570","<pronunciation><phonetics><consonants>","2",""
"306210","1","2016-02-13 19:51:02","0","780","<etymology><synonyms><portmanteau-words><blending>","2",""
"306221","1","2016-02-13 21:13:16","3","15715","<single-word-requests><phrase-requests><gender-neutral>","6",""
"306226","1","2016-02-13 21:29:08","1","524","<pronunciation>","1",""
"306231","1","2016-02-13 21:57:21","2","1742","<meaning><present-perfect><progressive-aspect>","2",""
"306234","1","2016-02-13 22:09:12","1","1364","<terminology><rhetoric>","3",""
"306240","1","2016-02-13 22:37:20","2","6194","<idioms><cinema>","6",""
"306248","1","2016-02-13 23:26:33","1","1199","<meaning-in-context>","1",""
"306251","1","2016-02-13 23:46:28","1","182","<phrases><gender-politics>","1",""
"306254","1","2016-02-13 23:52:44","1","4387","<expressions><meaning-in-context><american-english><phrase-meaning>","1",""
"306264","1","2016-02-14 01:18:59","4","921","<meaning><single-word-requests><phrase-requests><technical>","6","1"
"306270","1","2016-02-14 02:49:41","0","701","<neither-nor>","3",""
"306276","1","2016-02-14 03:10:18","1","2261","<differences><adverbs>","1",""
"306279","1","2016-02-14 03:45:11","6","950","<etymology>","1",""
"306282","1","2016-02-14 05:00:52","1","3371","<phrases><word-usage>","2",""
"306295","1","2016-02-14 08:04:23","2","822","<grammar><non-native-english>","3",""
"306298","1","2016-02-14 08:07:47","3","110","<dialects><archaicisms><british-english>","1",""
"306300","1","2016-02-14 08:14:31","0","661","<differences>","1","1"
"306301","1","2016-02-14 08:21:31","0","8127","<prepositions>","1",""
"306304","1","2016-02-14 08:44:27","1","146","<meaning><expressions>","2",""
"306308","1","2016-02-14 09:29:00","3","2028","<usage><orthography><colloquialisms>","1",""
"306310","1","2016-02-14 10:00:05","1","205","<tenses><conditionals>","2",""
"306313","1","2016-02-14 10:33:53","2","2695","<single-word-requests><phrase-requests>","4",""
"306318","1","2016-02-14 11:29:54","1","352","<prepositions><vocabulary>","1",""
"306323","1","2016-02-14 11:52:44","0","128","<subjunctive-mood><subject-verb-inversion>","2",""
"306326","1","2016-02-14 12:04:23","0","1153","<single-word-requests><word-choice><computing>","4",""
"306328","1","2016-02-14 12:15:37","2","190","<single-word-requests><grammar>","1","1"
"306330","1","2016-02-14 12:33:34","0","48","<antonyms><typography><professions><business-language>","1","1"
"306331","1","2016-02-14 12:34:48","7","1818","<grammar><syntactic-analysis><functions>","3","2"
"306341","1","2016-02-14 12:59:01","1","101","<grammar>","1",""
"306344","1","2016-02-14 13:09:46","-2","1969","<idiom-meaning>","1",""
"306347","1","2016-02-14 13:44:55","2","1537","<grammar><phrase-usage><phrase-order>","3",""
"306349","1","2016-02-14 13:58:11","0","208","<adjectives>","2",""
"306357","1","2016-02-14 15:09:30","0","202","<phrases><idioms><phrasal-verbs><phrase-usage><idiom-meaning>","1",""
"306362","1","2016-02-14 15:35:16","2","755","<literary-techniques><tone>","2",""
"306363","1","2016-02-14 15:35:42","1","846","<punctuation><quotation-marks>","2",""
"306365","1","2016-02-14 15:53:01","0","78","<grammar>","1",""
"306367","1","2016-02-14 15:57:23","4","3664","<meaning><expressions><idioms>","3",""
"306368","1","2016-02-14 16:06:49","4","3963","<expressions><phrase-requests>","5","1"
"306371","1","2016-02-14 16:34:12","5","192489","<word-choice><prepositions><time><at-in><in-on>","3","1"
"306382","1","2016-02-14 17:31:14","1","884","<grammar><british-english><sentence>","1",""
"307392","1","2016-02-14 20:25:46","1","359","<writing-style><literature>","1",""
"307393","1","2016-02-14 20:33:14","0","1111","<single-word-requests><phrase-requests>","2",""
"307394","1","2016-02-14 20:36:18","3","2099","<prepositions><conjunctions>","2",""
"307397","1","2016-02-14 20:50:53","1","83","<terminology><colloquialisms><conversational-deletion>","1",""
"307403","1","2016-02-14 21:20:09","6","2731","<single-word-requests><phrase-requests><idiom-requests>","2",""
"307407","1","2016-02-14 22:00:24","5","5951","<american-english><terminology><ethnonyms>","3","1"
"307413","1","2016-02-14 22:33:37","3","1711","<pronunciation><accent>","2","1"
"307417","1","2016-02-14 22:52:39","1","126","<meaning>","2",""
"307425","1","2016-02-15 00:38:50","2","1559","<single-word-requests><verbs>","7",""
"307429","1","2016-02-15 02:04:25","0","170","<single-word-requests>","4","1"
"307436","1","2016-02-15 02:58:22","14","20877","<single-word-requests><antonyms>","15","6"
"307438","1","2016-02-15 03:18:22","2","14012","<word-usage><syntactic-analysis><conjunctions><subordinate-clauses><subordinators>","1","1"
"307443","1","2016-02-15 04:13:55","1","849","<antonyms><semantics>","3",""
"307444","1","2016-02-15 04:19:20","1","6268","<single-word-requests>","2",""
"307450","1","2016-02-15 05:38:39","-1","2053","<meaning><grammar><verbs><gerund-vs-infinitive>","1",""
"307453","1","2016-02-15 06:00:41","0","250","<articles>","1",""
"307458","1","2016-02-15 06:35:57","1","637","<meaning><single-word-requests><word-choice>","3","1"
"307459","1","2016-02-15 06:47:38","14","117233","<single-word-requests><adjectives><pejorative-language>","13","3"
"307463","1","2016-02-15 07:16:15","0","167","<meaning><sentence><coordinating-conjunctions>","1",""
"307493","1","2016-02-15 10:43:09","16","2373","<meaning>","1","1"
"307500","1","2016-02-15 11:23:32","2","3121","<nouns><expression-choice>","2",""
"307502","1","2016-02-15 11:29:11","1","827","<expressions>","2",""
"307506","1","2016-02-15 12:15:13","1","351","<word-usage><meaning-in-context>","2",""
"307507","1","2016-02-15 12:17:30","4","367","<comma-splices>","2",""
"307510","1","2016-02-15 12:36:40","2","3052","<grammar><conditionals>","2",""
"307511","1","2016-02-15 12:37:15","1","966","<grammar><clauses><appositives>","4",""
"307526","1","2016-02-15 14:04:38","12","461243","<meaning><differences><synonyms><pronunciation>","2","3"
"307534","1","2016-02-15 14:39:40","9","5545","<single-word-requests><offensive-language><synonyms><political-correctness>","10","3"
"307535","1","2016-02-15 14:42:27","0","80","<usage><definite-articles>","1",""
"307544","1","2016-02-15 14:56:33","1","274","<grammaticality>","2","1"
"307551","1","2016-02-15 15:38:33","3","836","<verbs><nouns><adjectives><gerunds>","1","1"
"307553","1","2016-02-15 15:42:40","6","6671","<grammar><grammaticality><syntactic-analysis>","7",""
"307555","1","2016-02-15 15:45:43","10","514","<meaning>","1",""
"307561","1","2016-02-15 15:52:41","0","46","<meaning-in-context>","1",""
"307568","1","2016-02-15 16:46:44","0","6977","<will-would>","1",""
"307575","1","2016-02-15 17:27:09","1","39913","<meaning>","1",""
"307578","1","2016-02-15 17:49:31","0","903","<synonyms>","1",""
"307591","1","2016-02-15 19:35:02","3","1580","<adverbs><adverb-position>","2",""
"307593","1","2016-02-15 19:40:43","0","204","<meaning-in-context><terminology><phrase-meaning>","1",""
"307596","1","2016-02-15 20:04:13","0","211","<relative-clauses>","1",""
"307598","1","2016-02-15 20:13:56","3","2462","<etymology><slang>","2",""
"307600","1","2016-02-15 20:34:13","1","81592","<phrases>","1","1"
"307608","1","2016-02-15 21:51:31","0","1569","<single-word-requests><word-choice>","2",""
"307623","1","2016-02-15 23:18:25","1","1586","<idioms>","1",""
"307625","1","2016-02-15 23:38:40","1","7788","<grammar><auxiliary-verbs><will-would><would>","1","1"
"307628","1","2016-02-15 23:58:06","2","2344","<single-word-requests><phrase-requests>","3","1"
"307643","1","2016-02-16 01:02:08","4","2472","<meaning><meaning-in-context>","3",""
"307646","1","2016-02-16 01:28:48","2","934","<single-word-requests><phrase-requests>","2",""
"307650","1","2016-02-16 02:07:58","0","527","<grammaticality>","1",""
"307658","1","2016-02-16 02:36:03","2","16356","<phrase-requests>","1","1"
"307659","1","2016-02-16 02:36:12","0","10804","<prepositions>","1",""
"307664","1","2016-02-16 03:14:49","3","223","<single-word-requests><abbreviations>","1",""
"307671","1","2016-02-16 05:15:45","1","16148","<meaning>","1",""
"307673","1","2016-02-16 05:23:54","1","885","<grammar>","2",""
"307676","1","2016-02-16 05:55:53","0","83","<syntactic-analysis><writing-style>","1",""
"307677","1","2016-02-16 05:55:57","-1","52","<north-american-english>","1",""
"307678","1","2016-02-16 05:56:24","1","413","<conditionals>","3","1"
"307680","1","2016-02-16 06:11:57","-1","3617","<meaning><sentence><lyrics><songs>","1",""
"307685","1","2016-02-16 06:22:40","0","2987","<lyrics><songs>","2",""
"307687","1","2016-02-16 06:28:09","0","574","<meaning><meaning-in-context>","1",""
"307692","1","2016-02-16 07:06:17","1","615","<grammar><verbs>","2",""
"307698","1","2016-02-16 08:18:02","0","1742","<word-choice>","1",""
"307703","1","2016-02-16 08:57:47","2","218","<antonyms><dates>","2",""
"307706","1","2016-02-16 09:02:20","28","10417","<single-word-requests><idiom-requests>","13","1"
"307715","1","2016-02-16 10:01:54","0","2134","<grammar><adverb-position>","1",""
"307719","1","2016-02-16 10:56:48","15","84078","<word-choice><orthography><transatlantic-differences>","2","1"
"307726","1","2016-02-16 12:02:26","1","48","<punctuation><phrasing>","1",""
"307727","1","2016-02-16 12:03:59","0","1390","<vocabulary>","3",""
"307728","1","2016-02-16 12:04:36","-1","410","<grammatical-number><british-english>","1",""
"307730","1","2016-02-16 12:15:24","13","955","<past-tense><present-tense>","1",""
"307735","1","2016-02-16 12:28:05","2","338","<quotations>","1",""
"307748","1","2016-02-16 14:12:41","7","449","<prefixes><neologisms>","1","2"
"307750","1","2016-02-16 14:19:48","3","1833","<american-english><usage><vernacular><regional>","1",""
"307771","1","2016-02-16 16:17:11","1","154","<single-word-requests>","3",""
"307779","1","2016-02-16 16:41:28","1","147","<single-word-requests><analogy>","1","2"
"307787","1","2016-02-16 17:42:57","3","577","<backshifting>","3",""
"307788","1","2016-02-16 17:49:54","3","1030","<meaning>","2",""
"307789","1","2016-02-16 17:51:30","5","1369","<etymology><time><old-english>","3","1"
"307791","1","2016-02-16 17:56:45","0","3910","<expressions><american-english>","1",""
"307795","1","2016-02-16 18:09:36","0","164","<single-word-requests>","5",""
"307806","1","2016-02-16 19:53:32","13","5342","<phrase-requests><idiom-requests><expression-requests>","11","1"
"307810","1","2016-02-16 20:14:23","1","22463","<differences><prepositions><semantics>","2","1"
"307816","1","2016-02-16 20:47:03","0","230","<single-word-requests>","2",""
"307819","1","2016-02-16 20:52:45","0","227","<single-word-requests><vocabulary>","4",""
"307820","1","2016-02-16 21:01:45","0","5665","<word-choice><word-usage>","2",""
"307829","1","2016-02-16 21:23:19","0","1039","<pronouns><expression-choice>","1",""
"307830","1","2016-02-16 21:26:06","1","7102","<word-usage><synonyms>","2",""
"307837","1","2016-02-16 22:08:26","12","1376","<syntactic-analysis><determiners><noun-phrases><constituents>","2","3"
"307838","1","2016-02-16 22:11:16","2","73","<subjunctive-mood>","2",""
"307840","1","2016-02-16 22:23:01","1","795","<commas>","1",""
"307844","1","2016-02-16 22:45:29","4","1457","<meaning><phrases><meaning-in-context><quotes>","3",""
"307852","1","2016-02-16 23:57:06","10","2646","<etymology><phrases><expressions>","1","3"
"307861","1","2016-02-17 01:06:06","2","3346","<idiom-meaning>","1",""
"307865","1","2016-02-17 01:56:42","6","732","<nouns><gerunds><present-participles><ing>","1","2"
"307872","1","2016-02-17 03:01:20","0","50","<interjections><discourse-markers><filler-words>","0",""
"307874","1","2016-02-17 03:51:03","0","189","<past-perfect><figures-of-speech><books>","2",""
"307875","1","2016-02-17 04:06:33","1","1791","<grammaticality><questions><who><whose>","2",""
"307878","1","2016-02-17 04:27:58","0","94","<syntactic-analysis>","1",""
"307881","1","2016-02-17 04:56:04","0","110","<readability>","1",""
"307882","1","2016-02-17 05:22:21","0","14556","<meaning><word-usage>","1",""
"307887","1","2016-02-17 06:35:38","0","440","<meaning>","1",""
